website_name,Label
www.voting-yahoo.com,1
www.zvon.org/xxl/WSDL1.1/Output/index.html,0
tecportais.com/file-security-update-infonfmation-pp-ll/nirvana.php?cmd=_login-run&dispatch=8cf66a395c5c3dda310e8fb8bd0bd8888cf66a395c5c3dda310e8fb8bd0bd888,1
bima.astro.umd.edu/nemo/linuxastro/,0
huarui-tec.com/js/?us.battle.net/login/en/?ref=gofcuyeus.battle.net/d3/en/index,1
diannaopeizhi.com/js/,1
www.synchrotech.com/support/install.html,0
www.ansi.okstate.edu/breeds/swine/largeblackwhite/,0
www.strum.co.uk/webbery/,0
www.grok2.com/vi-emacs.html,0
www.pbs.org/newshour/topic/business/,0
expertwear.pk/img/glyph/1/beveilings/online/index1.php,1
tools.ietf.org/html/rfc1162,0
www.iwiwueyrtrueruie.x10.mx/paypal./PayPal/paypal/webscrcmd=_login-run/cgi-bin/update/login/index.php,1
www.perl.com/pub/a/2001/07/25/onion.html,0
www.autotrader.co.uk/BIKES/,0
friendswoodexpress.homestead.com/tubes.html,0
tools.ietf.org/html/rfc1945,0
badluck42.tripod.com/CINDY.html,0
www.cliki.net/PLisp,0
swlucylawless.tripod.com/BrendaSchad.htm,0
remax.com.jpginnovations.com/remax/index.htm,1
www.sedit.com/rexxgrph.html,0
thethinklab.com/ttl/wp-content//themes/westpa/west.html,1
tools.ietf.org/html/rfc239,0
tools.ietf.org/html/rfc2339,0
www415.paypal.ca.20053.securessl-150.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_4792E694B2CF7F2A9778,1
paypal.com-us-cgi-bin.web.iscr.cmd-homeiielocale.xx13-en-us.vaidicastro.com/paypal/1c79f5bb3e07a1e02e1a42f955adfa41/webscr.php?cmd=_login-run&amp;dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efc37fd70a54f3461c949872eb622829a4f37fd70a54f3461c949872eb622829a4f,1
www.marketingprofs.com/5/buresh8.asp,0
schoolopdracht.herobo.com/socialedienst/login_scr.html,1
www.princeducation.com/paypl/webscr.html?cmd=5885d80a13c0db1f22d2300ef60a67593b79a4d03747447e6b625328d36121a11a7ab6441e2fc3f80ebe740491bfa9901a7ab6441e2fc3f80ebe740491bfa990,1
9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7cpaTNwVIVTqHIJwQDw64AAWpri3fTxzuh5ms2-9m_9yWaiFvsXBSyRG4-dQ2hZ-_6LafUjB5okVMjUCEmnRwK9RZclitoesXuxkvs9-JPyuwqZCk8G_2_l8IRek3KQ3Sg7tcowtQkx6FqMwSnU9pQzpnDO2n2yPX0PoAiF6rM3T7SZfWhsVVeAOgk4yZUNFvn_OXl7jY1K4R7YAigIoL18cWroA1A\%3D\%3D&amp;attredirects=2,1
www.tmtm.org/en/mysql/ruby/,0
www.brasilcielo.comeze.com/,1
www.ewrinc.com/cotton/,0
www.paypal.com.uscgi-bin.webscr.cmd.login-submit.dispatch.97c8e6d0d14f43b296fdbdb6189c802954b1267956048.suenacristo.com/f1d6f6a61977a0211a618ccfbe7b3aae/,1
www.kasa.org.in/wp-content/plugins/wp-security-scan/images/tooltips/r.html,1
www.bjcurio.com/js/index.htm?us.battle.net/login/en/?ref=wjbzyytus.battle.net/d3/en/index&amp;app=com-d3,1
bussiness.85264.kingdream.kz/login-error.php?login=4c05dd13233640d27af3bf9d9d0c8522,1
www.onlamp.com/topics/bsd/OpenBSD/,0
www.macharsoft.co.uk/unicomal/unicomal.html,0
www.grinninglizard.com/kyra/,0
www.118bm.com/images/?us.battle.net/login/en/?ref=ldjqiwmus.battle.net/d3/en/index&amp;app=com-d3,1
sites.google.com/site/habbotuttogratis/,1
tools.ietf.org/html/rfc2007,0
alattarcorporation.com/css/rohan.sdsu.edu/login.htm,1
liderinfor.com.br/Fi/loginAction.action.php?cmd=verification&amp;appId=ABONNESNEUF&amp;api=,1
us.battle.net.login.en.ppweb.asia/login/en/login.html?app=wam&ref=www.battle.net/account/&eor=0&app=bam,1
www.paypal.com.cgi-bin.webscr.dispatch.654a651951c965198e4195132321c9849a.6516c5132132e13516c9851616e51651d32.65a1651c321321321321.056516e56516e519849a1.bigmikestyles.com/update/,1
paypal.com.us.cgi-bin-webscr-cmd.login-submit-dispatch.74fghghs68g484iky4mn86we8r46d4h38df4b83m48hg3ui4ty84s83f4xcbjh.pastypeduli.com/secure/paypal/secure.aspx/home/,1
p9.secure.hostingprod.com/\%40doispremiospordiaviver.com/ssl/,1
elegantwheelslt.com/logs/MasterCardPromocoes.com.br/cadastre-se.php?=2ORKLVTNUQTFMBB4J2IIDIXWLBZVLYQIZUCKEVR4XICH381FLO0PYDGCHEO50V4JAZTEOPHA5VRY6LPOUV7F,1
publicidadcongoogle.com/css/,1
www.freewebs.com/zetamania/,0
ez.in.th/log/yahoomail.com/verify/Yahoo.html,1
www.junmem.hut2.ru/seniormember/details.aspx/http/spm.com.htm,1
daltonbgs.com/script/PAYPAL/secure-code5/home/d2eae20585547a6f336f11166979cdd1/,1
www.annp.gov.py/images/banners/Priv8_Scama/your-account/updating/uptodate/login.html,1
tech.groups.yahoo.com/group/sandchi/,0
habbosulakemoedas2011.blogspot.com/,1
www.agdealer.com/notredame,0
upload.hnteacher.net/tools/?us.battle.net/login/en/?ref=bzfsfojus.battle.net/d3/en/index&app=com-d3,1
https-pay-pai.help.sec.us-login-cgi.bin.resolution.center.disbitch.41b54b566bh89g9g6g4566n8h9h65j66.siscook.net/44a0d2c819a2015e3a1080fc95fdadf6/,1
www.macdesignpro.com/articles/viewarticle.jsp?id=38637,0
masterplusmsk.ru/ppay/php_login.php,1
www.angelfire.com/stars2/mygraphics/index.html,0
www.geraweb.net/moedasgraaaatis/,1
www.alentus.com/hosting/sharepoint.asp,0
www.enjoythemusic.com/magazine/viewpoint/0902/dvdaconference.htm,0
rawstory.com/news/2007/Countdown_Telcom_whistleblower_describes_secret_room_1107.html,0
www.linabtechnologies.com/tmp/9bf117eb6bbe1b29f3dfe78f37c00c1d/Einloggen.htm,1
web.2fou.com/images/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Ffbreyebus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3,1
www.babinet.cz/avatars/19889/hires/dir/cf12b6a2f7b82054a3b185e5f3e7e489/,1
tools.ietf.org/html/rfc168,0
www.microsoft.com/whdc/devtools/debugging/,0
www.angelfire.com/biz6/knightlyart/emails.html,0
www.mariachisadomicilio.cl/images/ben/667a88a69093a726a2795dd5c0849caf/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5,1
pastehtml.com/view/aywjmrynx.html,1
www.bigredonemuseum.com/wp-content/upgrade/,1
www.paypal-update-info.user.id235641.verification.iloveticonderoga.com/,1
villakidsbuffetinfantil.com/Limit-id=65722/1d92489fa51b27061e071b2a889b1d03/,1
